timestamp,controller_mode,load_pattern,trial_num,elapsed_sec,queue_length,cpu_util,container_mem_pct,io_write_ops,indexing_time_rate,os_cpu_percent,os_mem_used_percent,batch_size,poll_interval_ms,inv_poll_interval,messages_consumed,messages_indexed,cycle_duration_ms,avg_latency_ms,injection_rate,total_injected
2026-04-23T01:30:34.781865,static,step,1,0.0,0,0.0,70.90892791748047,0.0,0.0,1,74,201,201,4.975124378109452,0,6,526.4203548431396,1013.792,1000,100
2026-04-23T01:30:35.881168,static,step,1,1.1,400,4.642709924052808,70.90892791748047,20.427923665832353,378.8451298027091,1,74,250,200,5.0,157,6,430.27448654174805,1013.792,1000,1100
2026-04-23T01:30:36.981340,static,step,1,2.2,1900,191.7194577309858,71.05388641357422,38.89960011933045,489.94972531251926,86,75,250,200,5.0,250,157,68.45760345458984,1393.8966369426757,1000,2100
2026-04-23T01:30:38.074006,static,step,1,3.3,1244,183.2222505356593,71.56314849853516,91.61112526782965,579.3056450759816,100,75,250,200,5.0,250,250,30.219078063964844,1976.4681320000084,1000,3100
2026-04-23T01:30:39.215858,static,step,1,4.3,2244,178.64684209554537,71.75846099853516,44.001685245208215,433.85661651775297,100,75,250,200,5.0,250,250,34.56521034240723,1828.9037680000042,1000,4200
2026-04-23T01:30:40.302262,static,step,1,5.5,2940,185.99454453815687,71.75846099853516,49.900975363895746,510.8045296340601,100,75,250,200,5.0,250,250,306.5447807312012,1793.800983999995,1000,5200
2026-04-23T01:30:41.396978,static,step,1,6.6,3744,185.74372478412835,71.8637466430664,31.419336530648575,562.7757631519113,91,75,250,200,5.0,250,250,42.066335678100586,2114.8701879999953,1000,6200
2026-04-23T01:30:42.507921,static,step,1,7.7,244,178.0534493240865,71.93050384521484,65.3160894505443,482.265372792375,100,76,250,200,5.0,250,50,313.25340270996094,2242.2276400000005,1000,7200
2026-04-23T01:30:43.583270,static,step,1,8.8,1244,379.2019210200421,71.9644546508789,96.89680537121468,383.8604212782736,96,76,250,200,5.0,250,250,315.21105766296387,1881.7915839999982,1000,8200
2026-04-23T01:30:44.662746,static,step,1,9.9,2398,194.3288865276924,71.9644546508789,57.373290308175854,448.80719031395626,95,76,250,200,5.0,250,250,49.24416542053223,1094.3978639999957,1000,9200
2026-04-23T01:30:45.749111,static,step,1,10.9,3644,169.10837348939543,71.99420928955078,49.629631350148664,252.7434929868682,91,76,250,200,5.0,250,250,43.90525817871094,828.7284320000003,1000,10200
2026-04-23T01:30:46.817794,static,step,1,12.0,4644,192.3607852893156,72.04113006591797,88.2044576448569,401.6117858723272,100,76,250,200,5.0,250,250,69.1988468170166,873.2968319999974,1000,11200
2026-04-23T01:30:47.904831,static,step,1,13.1,744,172.54705086744084,72.04113006591797,45.89017310304278,291.86150093535207,86,76,250,200,5.0,250,250,40.625810623168945,796.510400000002,1000,12200
2026-04-23T01:30:48.955507,static,step,1,14.2,1744,124.17257321025707,72.06611633300781,43.272260361150195,158.978521761617,66,76,250,200,5.0,250,250,35.73489189147949,654.3878879999967,1000,13200
