timestamp,controller_mode,load_pattern,trial_num,elapsed_sec,queue_length,cpu_util,container_mem_pct,io_write_ops,indexing_time_rate,os_cpu_percent,os_mem_used_percent,batch_size,poll_interval_ms,inv_poll_interval,messages_consumed,messages_indexed,cycle_duration_ms,avg_latency_ms,injection_rate,total_injected
2026-04-22T23:40:40.345098,static,step,1,0.0,0,0.0,84.19647216796875,0.0,0.0,2,87,248,200,5.0,0,0,520.6143856048584,0.0,1000,100
2026-04-22T23:40:41.413937,static,step,1,1.1,500,1.8970609220431862,84.19647216796875,13.279426454302305,16.125017837367086,1,87,250,200,5.0,250,1,45.957326889038086,701.5519999999999,1000,1100
2026-04-22T23:40:42.452070,static,step,1,2.1,500,19.0461062640301,84.23652648925781,111.4197216445761,58.090624105291816,18,87,250,200,5.0,250,250,29.108285903930664,654.1281800000025,1000,2000
2026-04-22T23:40:43.504510,static,step,1,3.2,1500,26.821475357420184,84.25216674804688,44.063852372904584,54.60086054903394,27,87,250,200,5.0,250,250,27.423858642578125,586.7017680000035,1000,3000
2026-04-22T23:40:44.530815,static,step,1,4.2,2400,18.120621667405665,84.25216674804688,43.870978773718974,47.685846493172804,18,87,250,200,5.0,250,250,24.260520935058594,507.7367559999988,1000,3900
2026-04-22T23:40:45.572829,static,step,1,5.2,3400,19.388062968271104,84.28764343261719,46.53135112385065,59.13359205322687,26,87,250,200,5.0,250,250,31.053781509399414,577.0892399999994,1000,4900
2026-04-22T23:40:46.666127,static,step,1,6.3,4400,28.39571120888088,84.25064086914062,43.54009052028402,57.73794612472446,30,87,250,200,5.0,250,250,298.0327606201172,483.55057599999964,1000,5900
2026-04-22T23:40:47.746458,static,step,1,7.4,870,23.611514336626545,84.29069519042969,48.13116384004642,90.81351667933286,29,87,250,200,5.0,250,250,50.281524658203125,502.77539999999726,1000,6900
2026-04-22T23:40:48.782050,static,step,1,8.5,1500,35.15965059942069,84.29069519042969,51.31408465861397,36.109911426432056,33,87,250,200,5.0,250,120,29.565095901489258,725.4905999999994,1000,7900
2026-04-22T23:40:49.853055,static,step,1,9.5,2500,10.4121743243658,84.26017761230469,36.915890786387834,45.434942506323495,12,87,250,200,5.0,250,250,28.423547744750977,902.6255479999936,1000,8800
2026-04-22T23:40:50.888177,static,step,1,10.6,3400,18.912224599981784,84.26017761230469,45.38933903995628,60.51911871994171,22,87,250,200,5.0,250,250,30.314207077026367,854.0968079999986,1000,9800
2026-04-22T23:40:51.968943,static,step,1,11.6,4400,40.630385627498214,84.31739807128906,98.26883965720498,60.47313209674153,28,87,250,200,5.0,250,250,37.232160568237305,898.5861879999957,1000,10800
2026-04-22T23:40:53.001391,static,step,1,12.7,1247,47.48966150047396,84.27581787109375,50.33904119050239,87.38097716087208,45,88,250,200,5.0,250,250,28.715133666992188,870.2346640000001,1000,11700
