C:\Users\DELL\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\requests\__init__.py:89: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (3.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
2026-02-16 22:11:56,702 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2026-02-16 22:11:56,705 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2026-02-16 22:11:56,706 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=1 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2026-02-16 22:11:56,706 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=bootstrap-0 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Closing connection. 
2026-02-16 22:11:56,814 - kafka.cluster - INFO - Coordinator for group/sysid-observer is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=29092, rack=None)
2026-02-16 22:11:56,814 - kafka.coordinator - INFO - Discovered coordinator coordinator-1 for group sysid-observer
2026-02-16 22:11:56,815 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2026-02-16 22:11:56,815 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.3.0, node_id=coordinator-1 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2026-02-16 22:12:06,338 - sysid-experiment - INFO -   Sample 10: queue=1050, cpu=5.9%, mem=19.1%, io=286926
2026-02-16 22:12:16,768 - sysid-experiment - INFO -   Sample 20: queue=1800, cpu=0.0%, mem=19.1%, io=0
