timestamp,phase,queue_length,cpu_util,mem_util,io_ops,batch_size,poll_interval
2026-02-16T15:11:56.922056,vary_both,450,0.0,19.12917432000229,0.0,10,50
2026-02-16T15:11:57.966802,vary_both,600,2.01672024549465,19.130984178341794,80481.19116817605,10,50
2026-02-16T15:11:59.009943,vary_both,600,3.7184812220139847,19.13049058061284,188595.90778526652,10,50
2026-02-16T15:12:00.086234,vary_both,750,3.773792692034903,19.131025311485875,285111.2570349,10,50
2026-02-16T15:12:01.130160,vary_both,750,0.0,19.131025311485875,0.0,10,50
2026-02-16T15:12:02.158006,vary_both,900,1.0787262501870263,19.131457209498713,0.0,10,50
2026-02-16T15:12:03.210415,vary_both,900,4.942202156706591,19.132444404956626,284989.619737955,10,50
2026-02-16T15:12:04.258704,vary_both,900,0.0,19.132444404956626,0.0,10,50
2026-02-16T15:12:05.296093,vary_both,1050,3.187865512834201,19.132464971528666,0.0,10,50
2026-02-16T15:12:06.338389,vary_both,1050,5.921378301351455,19.13359613299086,286926.3614960166,10,50
2026-02-16T15:12:07.382480,vary_both,1200,0.0,19.13359613299086,0.0,10,50
2026-02-16T15:12:08.433793,vary_both,1200,9.913621567558463,19.140485934624216,285174.56835610094,10,50
2026-02-16T15:12:09.461131,vary_both,1350,0.0,19.140485934624216,0.0,10,50
2026-02-16T15:12:10.508803,vary_both,1350,6.650396042812807,19.136866217945197,308839.070898906,10,50
2026-02-16T15:12:11.543980,vary_both,1500,2.151690491312807,19.139971770323218,47527.524079320116,10,50
2026-02-16T15:12:12.591257,vary_both,1500,0.0,19.139971770323218,0.0,10,50
2026-02-16T15:12:13.617649,vary_both,1650,4.370894793309962,19.13826474484391,255536.47864369783,10,50
2026-02-16T15:12:14.690773,vary_both,1650,6.399266172386691,19.138778909144904,275471.45610809425,10,50
2026-02-16T15:12:15.727977,vary_both,1800,1.9973746321611592,19.139313640017942,31542.055048465525,10,50
2026-02-16T15:12:16.768624,vary_both,1800,0.0,19.139313640017942,0.0,10,50
2026-02-16T15:12:17.805326,vary_both,1888,4.367768594150885,19.1402185691877,256736.53966997136,10,50
2026-02-16T15:12:18.859466,vary_both,1950,0.0,19.1402185691877,0.0,10,50
2026-02-16T15:12:19.902610,vary_both,1979,4.95370615255585,19.141164631501532,282362.65059136454,10,50
2026-02-16T15:12:20.940547,vary_both,2100,5.355469690896244,19.142192960103525,283892.8291011644,10,50
2026-02-16T15:12:21.987760,vary_both,2100,0.0,19.142192960103525,0.0,10,50
2026-02-16T15:12:23.012177,vary_both,2100,5.241731002585467,19.14392055215487,0.0,10,50
2026-02-16T15:12:24.077869,vary_both,2250,0.0,19.14392055215487,0.0,10,50
2026-02-16T15:12:25.104751,vary_both,2250,6.646425625443579,19.144578682460146,1137349.8609027928,10,50
2026-02-16T15:12:26.180632,vary_both,2400,4.941504108457408,19.146861571956574,274230.54004912404,10,50
2026-02-16T15:12:27.220421,vary_both,2400,0.0,19.146861571956574,0.0,10,50
2026-02-16T15:12:28.264892,vary_both,2550,5.687988565202992,19.146635339664137,270593.46338073886,10,50
2026-02-16T15:12:29.306396,vary_both,2550,0.0,19.146635339664137,0.0,10,50
2026-02-16T15:12:30.361065,vary_both,2700,2.095207705654832,19.148445198003643,30996.389847522492,10,50
2026-02-16T15:12:31.420746,vary_both,2700,3.93104739613263,19.148074999706928,263458.618570925,10,50
2026-02-16T15:12:32.459422,vary_both,2850,3.331159073033955,19.148589164007923,282970.4208027485,10,50
2026-02-16T15:12:33.511526,vary_both,2850,0.0,19.148589164007923,0.0,10,50
2026-02-16T15:12:34.552573,vary_both,3000,1.7500090970229505,19.1490416285928,0.0,10,50
2026-02-16T15:12:35.620081,vary_both,3000,10.100771384650297,19.15527329992088,278510.55100639316,10,50
2026-02-16T15:12:36.662182,vary_both,3150,3.352515551430814,19.154903101624164,237672.0804786408,10,50
2026-02-16T15:12:37.726396,vary_both,3150,0.0,19.154903101624164,0.0,10,50
2026-02-16T15:12:38.743180,vary_both,3150,2.838387075329677,19.152825877848137,52100.88234194946,10,50
2026-02-16T15:12:39.788791,vary_both,3300,3.749767464903887,19.1551293339166,1113000.0598249615,10,50
2026-02-16T15:12:40.831789,vary_both,3300,0.0,19.1551293339166,0.0,10,50
2026-02-16T15:12:41.877998,vary_both,3450,3.9623241803542633,19.154039305598488,128967.61045998207,10,50
2026-02-16T15:12:42.921879,vary_both,3450,3.541752454830089,19.1554378324972,235891.73407833092,10,50
2026-02-16T15:12:43.985759,vary_both,3600,0.0,19.1554378324972,0.0,10,50
2026-02-16T15:12:45.000244,vary_both,3600,7.326050475751083,19.155951996798194,293696.3604249021,10,50
2026-02-16T15:12:46.035257,vary_both,3750,1.0146707240367423,19.156404461383072,0.0,10,50
2026-02-16T15:12:47.100089,vary_both,3750,3.640518035382021,19.157617889133423,277492.1917146091,10,50
2026-02-16T15:12:48.162256,vary_both,3900,0.6727675363302705,19.15870791745154,46285.39379098357,10,50
2026-02-16T15:12:49.222964,vary_both,3900,0.0,19.15870791745154,0.0,10,50
2026-02-16T15:12:50.257570,vary_both,4050,7.967495698842346,19.16473392305922,253517.1244512663,10,50
2026-02-16T15:12:51.281810,vary_both,4050,3.990581134929591,19.15800865400218,274977.8235235853,10,50
2026-02-16T15:12:52.308392,vary_both,4200,0.0,19.15800865400218,0.0,10,50
2026-02-16T15:12:53.382465,vary_both_settle,4200,8.029169629135618,19.133246501266182,3275121.6446264205,10,50
2026-02-16T15:12:54.462829,vary_both_settle,4200,3.891553790116585,19.135447124474446,0.0,10,50
