timestamp,phase,queue_length,cpu_util,mem_util,avg_latency_ms,io_write_ops,os_cpu_percent,os_mem_used_percent,gc_time_rate,write_queue_size,container_mem_pct,batch_size,poll_interval,queue_exhausted
2026-04-20T09:14:35.922093,vary_batch,440,5.210893210882701,37,65443.79499999999,12.60270338862046,4,86,0.33296442242061985,0,82.79304504394531,3,842,False
2026-04-20T09:14:37.037463,vary_batch,440,5.249603867620444,38,67138.18999999999,14.87387762492459,7,86,0.0,0,82.82012939453125,3,842,False
2026-04-20T09:14:38.158407,vary_batch,422,8.070701282974461,40,67981.28300000001,126.4409867665999,8,85,0.0,0,82.77359008789062,3,842,False
2026-04-20T09:14:39.266331,vary_batch,422,3.587226840159318,43,68812.889,6.2776469702788065,4,85,0.0,0,82.77359008789062,3,842,False
2026-04-20T09:14:40.357549,vary_batch,422,4.541834256938736,43,70501.46100000001,10.900402216652965,5,85,0.0,0,82.79151916503906,3,842,False
2026-04-20T09:14:41.471086,vary_batch,422,4.533264334139405,45,71344.967,13.599793002418215,4,85,0.0,0,82.77740478515625,3,842,False
2026-04-20T09:14:42.585893,vary_batch,422,1.788651627559273,46,72180.246,6.260280696457456,2,85,0.0,0,82.7911376953125,3,842,False
2026-04-20T09:14:43.688103,vary_batch,404,2.686619631100183,47,73869.67300000001,10.746478524400732,2,85,0.0,0,82.7911376953125,3,842,False
2026-04-20T09:14:44.808982,vary_batch,404,3.6283722644280925,49,74713.358,12.699302925498325,7,85,0.0,0,82.78694152832031,3,842,False
2026-04-20T09:14:45.899327,vary_batch,404,2.7500134409130905,49,75550.75600000001,6.416698028797211,6,85,0.0,0,82.78388977050781,3,842,False
2026-04-20T09:14:47.045075,vary_batch,404,4.490629888853724,53,77239.261,6.2868818443952135,4,85,0.0,0,82.78732299804688,3,842,False
2026-04-20T09:14:48.156804,vary_batch,386,4.360457488412981,54,78085.706,17.441829953651926,7,85,0.0,0,82.78732299804688,3,842,False
2026-04-20T09:14:49.279268,vary_batch,386,2.6906560046119745,55,78925.228,7.175082678965265,2,85,0.0,0,82.80754089355469,3,842,False
2026-04-20T09:14:50.371123,vary_batch,386,1.8229276294987768,56,80603.868,31.901233516228594,3,85,0.0,0,82.78541564941406,3,842,False
2026-04-20T09:14:51.498100,vary_batch,386,4.468956217418887,57,81447.538,13.406868652256659,5,85,0.0,0,82.82356262207031,3,842,False
2026-04-20T09:14:52.591059,vary_batch,386,2.725455888373141,58,82290.891,6.359397072870662,3,85,0.0,0,82.82356262207031,3,842,False
2026-04-20T09:14:53.701725,vary_batch,368,2.7196805266227093,59,83977.49399999999,11.78528228203174,3,85,0.0,0,82.86170959472656,3,842,False
2026-04-20T09:14:54.808051,vary_batch,368,6.342959928482142,63,84818.309,13.592056989604592,8,85,0.0,0,82.85675048828125,3,842,False
2026-04-20T09:14:55.924624,vary_batch,368,2.661500573951547,63,85658.613,6.210168005886943,8,85,0.0,0,82.83462524414062,3,842,False
2026-04-20T09:14:57.047726,vary_batch,368,2.705711643909257,64,86503.294,9.920942694333943,2,85,0.0,0,82.83462524414062,3,842,False
2026-04-20T09:14:58.203073,vary_batch,350,5.286527998144681,66,88192.665,16.740671994124824,5,85,0.0,0,82.830810546875,3,842,False
2026-04-20T09:14:59.330077,vary_batch,350,3.4859842464713098,67,89033.505,6.100472431324792,4,85,0.0,0,82.80448913574219,3,842,False
2026-04-20T09:15:00.432539,vary_batch,350,2.6890028779349135,67,90718.24700000002,9.859677219094683,4,85,0.0,0,82.80448913574219,3,842,False
2026-04-20T09:15:01.531061,vary_batch,350,8.166788938227802,72,91556.31300000001,14.518735890182759,10,85,0.0,0,82.79685974121094,3,842,False
2026-04-20T09:15:02.637955,vary_batch,350,2.717436853651299,73,92399.22000000002,6.340685991853031,3,85,0.0,0,82.81097412109375,3,842,False
2026-04-20T09:15:03.765472,vary_batch,332,2.6739684387489486,74,93239.143,10.695873754995796,3,85,0.0,0,82.79533386230469,3,842,False
